VSAMP,SAMPN,VEHNO,YEAR,BODY,O_BODY,FUEL,O_FUEL,EZPAS,CNTV,O_CNTV,HH1,HH_WHT2
300303401,3003034,1,2009,1, ,1, ,1,1, ,341.28571,341.6111491
300304401,3003044,1,2001,1, ,1, ,1,1, ,581,1900.561617
300304402,3003044,2,1999,2, ,1, ,1,1, ,581,1900.561617
300304403,3003044,3,2004,4, ,1, ,2,2,DK/RF,581,1900.561617
300304404,3003044,4,1999,1, ,1, ,2,1, ,581,1900.561617
300304405,3003044,5,9998,7, ,1, ,2,2,DK/RF,581,1900.561617
300306101,3003061,1,2002,1, ,1, ,1,1, ,264.57143,2373.910077
300306102,3003061,2,2008,2, ,1, ,1,1, ,264.57143,2373.910077
300308601,3003086,1,2003,2, ,1, ,1,1, ,290.42857,50
300308602,3003086,2,2005,4, ,1, ,1,2,NOT NEEDED,290.42857,50
300308603,3003086,3,2000,1, ,1, ,2,2,NOT NEEDED,290.42857,50
300308604,3003086,4,2009,1, ,1, ,1,2,NOT NEEDED,290.42857,50
300309701,3003097,1,1997,1, ,1, ,1,2,NOT NEEDED,308.83333,470.6112047
300309702,3003097,2,2009,1, ,1, ,1,1, ,308.83333,470.6112047
300309703,3003097,3,1985,4, ,1, ,2,1, ,308.83333,470.6112047
300309704,3003097,4,2005,4, ,1, ,1,2,NOT NEEDED,308.83333,470.6112047
300311301,3003113,1,2000,1, ,1, ,1,1, ,183.3125,362.2870068
300313001,3003130,1,2008,2, ,1, ,1,1, ,334.33333,535.7321778
300313002,3003130,2,2010,2, ,1, ,1,1, ,334.33333,535.7321778
300317801,3003178,1,2000,2, ,1, ,1,1, ,287.33333,535.253528
300317802,3003178,2,2009,1, ,1, ,1,1, ,287.33333,535.253528
300317803,3003178,3,2001,1, ,1, ,2,2,NOT NEEDED,287.33333,535.253528
300318001,3003180,1,2009,1, ,1, ,2,1, ,346.5,133.859001
300320901,3003209,1,2008,2, ,1, ,1,2,NOT NEEDED,351.875,764.3307007
300320902,3003209,2,2008,2, ,1, ,1,2,NOT NEEDED,351.875,764.3307007
300322701,3003227,1,2000,2, ,1, ,1,1, ,206.2,274.8393774
300322702,3003227,2,1999,2, ,1, ,1,1, ,206.2,274.8393774
300322703,3003227,3,1967,1, ,1, ,2,2,CLASSIC/COLLECTOR,206.2,274.8393774
300325001,3003250,1,2005,1, ,1, ,2,1, ,1716,2334.463268
300325701,3003257,1,2000,1, ,1, ,1,1, ,159.23529,1651.720654
300325702,3003257,2,2007,2, ,1, ,1,1, ,159.23529,1651.720654
300326401,3003264,1,2002,3, ,1, ,1,2,NOT NEEDED,58.95652,52.35782037
300326402,3003264,2,2010,2, ,1, ,1,1, ,58.95652,52.35782037
300326403,3003264,3,2010,1, ,1, ,2,1, ,58.95652,52.35782037
300330601,3003306,1,2008,2, ,1, ,1,1, ,145.93333,61.00747952
300330602,3003306,2,2009,1, ,1, ,1,1, ,145.93333,61.00747952
300333801,3003338,1,1990,1, ,1, ,2,2,NOT NEEDED,1255,241.9503773
300333802,3003338,2,2009,1, ,1, ,2,2,NOT NEEDED,1255,241.9503773
300337301,3003373,1,1989,1, ,1, ,1,2,NOT NEEDED,430.94444,148.4361094
300339401,3003394,1,2007,2, ,1, ,1,1, ,968.66667,289.3832878
300339402,3003394,2,2000,1, ,1, ,1,2,NOT NEEDED,968.66667,289.3832878
300340001,3003400,1,2002,3, ,1, ,2,2,USED PUBLIC TRANSIT,1136,457.5852317
300341001,3003410,1,2003,1, ,1, ,2,1, ,107.86667,50.09101327
300341002,3003410,2,2007,1, ,1, ,2,1, ,107.86667,50.09101327
300342101,3003421,1,2001,3, ,1, ,1,1, ,118.41176,50.00828851
300342102,3003421,2,2009,1, ,1, ,2,1, ,118.41176,50.00828851
300342103,3003421,3,2007,2, ,1, ,2,2,NOT NEEDED,118.41176,50.00828851
300350101,3003501,1,2004,2, ,1, ,1,1, ,278.28571,95.2806785
300352601,3003526,1,2000,1, ,1, ,1,1, ,86.2,342.3724464
300352602,3003526,2,2009,2, ,3, ,1,1, ,86.2,342.3724464
300352901,3003529,1,2005,2, ,1, ,1,1, ,137,158.5309592
300352902,3003529,2,2005,1, ,1, ,1,1, ,137,158.5309592
300354601,3003546,1,2004,1, ,1, ,2,1, ,537.25,243.193845
300355901,3003559,1,2007,2, ,1, ,1,1, ,864,125.8094527
300355902,3003559,2,2004,1, ,1, ,1,2,NOT PRIMARY VEHICLE,864,125.8094527
300355903,3003559,3,2008,1, ,1, ,1,1, ,864,125.8094527
300357201,3003572,1,2001,1, ,1, ,2,1, ,122.2381,91.92539901
300363601,3003636,1,2002,1, ,1, ,1,2,DK/RF,252,174.2650236
300363602,3003636,2,2000,2, ,1, ,1,1, ,252,174.2650236
300368001,3003680,1,2004,1, ,1, ,1,1, ,186.28571,50.01414022
300369801,3003698,1,2010,1, ,3, ,2,1, ,112.5,116.6876383
300369802,3003698,2,2008,1, ,1, ,1,2,NOT NEEDED,112.5,116.6876383
300372601,3003726,1,2009,1, ,1, ,8,1, ,137.77778,813.2013918
300372602,3003726,2,1998,1, ,1, ,8,1, ,137.77778,813.2013918
300372603,3003726,3,2002,1, ,1, ,2,1, ,137.77778,813.2013918
300377801,3003778,1,2007,1, ,1, ,1,1, ,317.5,365.7231975
300378601,3003786,1,2004,4, ,1, ,1,2,USED DIFFERENT MODE,442.33333,89.04915951
300378602,3003786,2,2003,3, ,1, ,2,2,USED DIFFERENT MODE,442.33333,89.04915951
300383501,3003835,1,2009,1, ,1, ,1,1, ,352.75,432.5870553
300386201,3003862,1,2007,2, ,1, ,2,1, ,76.91304,73.36860623
300386202,3003862,2,2006,1, ,1, ,2,1, ,76.91304,73.36860623
300386601,3003866,1,2010,1, ,1, ,2,1, ,105.27273,757.0782102
300391001,3003910,1,2009,2, ,1, ,1,1, ,206.2,142.5930471
300391002,3003910,2,2003,1, ,1, ,1,1, ,206.2,142.5930471
